date,population<5,infected<5,population5-14,infected5-14,population15-24,infected15-24,population25-34,infected25-34,population35-44,infected35-44,population45-54,infected45-54,population55-64,infected55-64,population65-74,infected65-74,population75-84,infected75-84,population>84,infected>84,
2020/10/05,435133,736,843559,3009,969767,9314,1206874,9092,1166614,7172,1358143,8087,1210126,5761,833470,2746,609151,2192,225938,1318,
2020/10/04,435133,716,843559,2913,969767,9150,1206874,8926,1166614,7019,1358143,7950,1210126,5671,833470,2683,609151,2163,225938,1304,
2020/10/03,435133,704,843559,2847,969767,9038,1206874,8817,1166614,6930,1358143,7869,1210126,5616,833470,2666,609151,2145,225938,1292,
2020/10/02,435133,691,843559,2776,969767,8872,1206874,8659,1166614,6802,1358143,7746,1210126,5513,833470,2622,609151,2123,225938,1279,
2020/10/01,435133,679,843559,2703,969767,8703,1206874,8493,1166614,6666,1358143,7594,1210126,5409,833470,2581,609151,2100,225938,1265,
2020/09/30,435133,673,843559,2626,969767,8561,1206874,8357,1166614,6553,1358143,7467,1210126,5322,833470,2544,609151,2074,225938,1254,
2020/09/29,435133,664,843559,2547,969767,8390,1206874,8188,1166614,6408,1358143,7327,1210126,5224,833470,2509,609151,2033,225938,1234,
2020/09/28,435133,654,843559,2470,969767,8195,1206874,8030,1166614,6282,1358143,7187,1210126,5122,833470,2480,609151,2011,225938,1226,
2020/09/27,435133,647,843559,2414,969767,8118,1206874,7943,1166614,6222,1358143,7096,1210126,5074,833470,2439,609151,1990,225938,1210,
2020/09/26,435133,639,843559,2360,969767,8000,1206874,7837,1166614,6138,1358143,6994,1210126,5015,833470,2415,609151,1973,225938,1202,
2020/09/25,435133,630,843559,2293,969767,7874,1206874,7728,1166614,6053,1358143,6873,1210126,4938,833470,2377,609151,1951,225938,1191,
2020/09/24,435133,622,843559,2244,969767,7735,1206874,7590,1166614,5928,1358143,6771,1210126,4864,833470,2328,609151,1926,225938,1182,
2020/09/23,435133,615,843559,2180,969767,7592,1206874,7444,1166614,5825,1358143,6649,1210126,4797,833470,2300,609151,1893,225938,1173,
2020/09/22,435133,599,843559,2128,969767,7433,1206874,7281,1166614,5726,1358143,6542,1210126,4741,833470,2269,609151,1869,225938,1162,
2020/09/21,435133,586,843559,2075,969767,7304,1206874,7166,1166614,5617,1358143,6435,1210126,4673,833470,2240,609151,1851,225938,1145,
2020/09/20,435133,577,843559,2009,969767,7160,1206874,7060,1166614,5507,1358143,6339,1210126,4616,833470,2203,609151,1826,225938,1135,
2020/09/19,435133,569,843559,1954,969767,7005,1206874,6941,1166614,5427,1358143,6266,1210126,4569,833470,2181,609151,1814,225938,1130,
2020/09/18,435133,554,843559,1889,969767,6813,1206874,6776,1166614,5293,1358143,6174,1210126,4500,833470,2137,609151,1789,225938,1122,
2020/09/17,435133,545,843559,1842,969767,6614,1206874,6598,1166614,5175,1358143,6065,1210126,4435,833470,2114,609151,1772,225938,1109,
2020/09/16,435133,533,843559,1749,969767,6401,1206874,6393,1166614,5035,1358143,5935,1210126,4361,833470,2087,609151,1761,225938,1096,
2020/09/15,435133,518,843559,1696,969767,6215,1206874,6224,1166614,4913,1358143,5829,1210126,4301,833470,2065,609151,1751,225938,1091,
2020/09/14,435133,505,843559,1643,969767,5987,1206874,6054,1166614,4791,1358143,5702,1210126,4224,833470,2034,609151,1724,225938,1086,
2020/09/13,435133,498,843559,1593,969767,5846,1206874,5945,1166614,4720,1358143,5625,1210126,4164,833470,2014,609151,1707,225938,1079,
2020/09/12,435133,488,843559,1565,969767,5747,1206874,5854,1166614,4665,1358143,5579,1210126,4112,833470,1992,609151,1695,225938,1073,
2020/09/11,435133,477,843559,1529,969767,5599,1206874,5740,1166614,4578,1358143,5516,1210126,4052,833470,1973,609151,1684,225938,1061,
2020/09/10,435133,455,843559,1473,969767,5393,1206874,5557,1166614,4447,1358143,5410,1210126,3981,833470,1947,609151,1670,225938,1035,
2020/09/09,435133,434,843559,1415,969767,5215,1206874,5402,1166614,4338,1358143,5310,1210126,3930,833470,1924,609151,1656,225938,1028,
2020/09/08,435133,424,843559,1369,969767,5099,1206874,5289,1166614,4266,1358143,5249,1210126,3853,833470,1907,609151,1643,225938,1024,
2020/09/07,435133,412,843559,1330,969767,4989,1206874,5177,1166614,4195,1358143,5173,1210126,3809,833470,1887,609151,1630,225938,1019,
2020/09/06,435133,404,843559,1287,969767,4879,1206874,5079,1166614,4114,1358143,5111,1210126,3754,833470,1871,609151,1622,225938,1019,
2020/09/05,435133,398,843559,1268,969767,4845,1206874,5031,1166614,4086,1358143,5088,1210126,3737,833470,1865,609151,1617,225938,1017,
2020/09/04,435133,389,843559,1242,969767,4780,1206874,4956,1166614,4047,1358143,5052,1210126,3707,833470,1859,609151,1615,225938,1017,
2020/09/03,435133,384,843559,1224,969767,4717,1206874,4886,1166614,4001,1358143,5012,1210126,3680,833470,1846,609151,1610,225938,1019,
2020/09/02,435133,368,843559,1202,969767,4603,1206874,4802,1166614,3951,1358143,4933,1210126,3640,833470,1836,609151,1603,225938,1018,
2020/09/01,435133,364,843559,1167,969767,4486,1206874,4718,1166614,3893,1358143,4874,1210126,3591,833470,1824,609151,1595,225938,1017,
2020/08/31,435133,356,843559,1148,969767,4430,1206874,4676,1166614,3862,1358143,4834,1210126,3572,833470,1811,609151,1591,225938,1017,
2020/08/30,435133,353,843559,1134,969767,4363,1206874,4615,1166614,3827,1358143,4798,1210126,3548,833470,1802,609151,1587,225938,1017,
2020/08/29,435133,351,843559,1125,969767,4305,1206874,4571,1166614,3814,1358143,4777,1210126,3537,833470,1800,609151,1585,225938,1016,
2020/08/28,435133,345,843559,1095,969767,4213,1206874,4513,1166614,3769,1358143,4742,1210126,3506,833470,1787,609151,1580,225938,1013,
2020/08/27,435133,342,843559,1078,969767,4142,1206874,4446,1166614,3731,1358143,4696,1210126,3478,833470,1779,609151,1572,225938,1010,
2020/08/26,435133,338,843559,1064,969767,4077,1206874,4405,1166614,3702,1358143,4658,1210126,3455,833470,1768,609151,1569,225938,1010,
2020/08/25,435133,332,843559,1032,969767,3986,1206874,4320,1166614,3647,1358143,4630,1210126,3430,833470,1758,609151,1564,225938,1003,
2020/08/24,435133,323,843559,1004,969767,3927,1206874,4239,1166614,3601,1358143,4596,1210126,3416,833470,1746,609151,1564,225938,993,
2020/08/23,435133,320,843559,997,969767,3869,1206874,4188,1166614,3571,1358143,4561,1210126,3401,833470,1740,609151,1562,225938,991,
2020/08/22,435133,315,843559,982,969767,3798,1206874,4123,1166614,3540,1358143,4531,1210126,3391,833470,1733,609151,1562,225938,991,
2020/08/21,435133,313,843559,970,969767,3740,1206874,4086,1166614,3503,1358143,4502,1210126,3379,833470,1726,609151,1559,225938,990,
2020/08/20,435133,307,843559,949,969767,3631,1206874,4007,1166614,3465,1358143,4466,1210126,3357,833470,1720,609151,1556,225938,989,
2020/08/19,435133,301,843559,930,969767,3541,1206874,3943,1166614,3427,1358143,4434,1210126,3341,833470,1711,609151,1554,225938,988,
2020/08/18,435133,297,843559,924,969767,3396,1206874,3862,1166614,3387,1358143,4402,1210126,3329,833470,1705,609151,1553,225938,987,
2020/08/17,435133,294,843559,910,969767,3277,1206874,3774,1166614,3358,1358143,4373,1210126,3310,833470,1699,609151,1551,225938,984,
2020/08/16,435133,292,843559,900,969767,3214,1206874,3738,1166614,3333,1358143,4354,1210126,3297,833470,1698,609151,1550,225938,984,
2020/08/15,435133,291,843559,894,969767,3153,1206874,3691,1166614,3318,1358143,4337,1210126,3286,833470,1695,609151,1547,225938,982,
2020/08/14,435133,289,843559,880,969767,3022,1206874,3620,1166614,3290,1358143,4308,1210126,3275,833470,1689,609151,1542,225938,978,
2020/08/13,435133,288,843559,876,969767,2910,1206874,3562,1166614,3268,1358143,4290,1210126,3261,833470,1680,609151,1538,225938,976,
2020/08/12,435133,285,843559,871,969767,2815,1206874,3505,1166614,3246,1358143,4276,1210126,3250,833470,1669,609151,1536,225938,975,
2020/08/11,435133,280,843559,864,969767,2744,1206874,3472,1166614,3225,1358143,4251,1210126,3238,833470,1662,609151,1534,225938,973,
2020/08/10,435133,265,843559,845,969767,2642,1206874,3449,1166614,3181,1358143,4201,1210126,3302,833470,1675,609151,1544,225938,999,
2020/08/09,435133,265,843559,838,969767,2616,1206874,3426,1166614,3172,1358143,4192,1210126,3300,833470,1661,609151,1542,225938,996,
2020/08/08,435133,261,843559,833,969767,2591,1206874,3416,1166614,3157,1358143,4177,1210126,3289,833470,1660,609151,1541,225938,996,
2020/08/07,435133,260,843559,831,969767,2560,1206874,3390,1166614,3136,1358143,4163,1210126,3278,833470,1656,609151,1537,225938,996,
2020/08/06,435133,259,843559,823,969767,2534,1206874,3361,1166614,3120,1358143,4148,1210126,3255,833470,1651,609151,1535,225938,996,
2020/08/05,435133,259,843559,816,969767,2508,1206874,3336,1166614,3103,1358143,4137,1210126,3241,833470,1645,609151,1531,225938,995,
2020/08/04,435133,257,843559,806,969767,2477,1206874,3317,1166614,3086,1358143,4125,1210126,3225,833470,1644,609151,1530,225938,991,
2020/08/03,435133,256,843559,798,969767,2434,1206874,3297,1166614,3070,1358143,4105,1210126,3217,833470,1638,609151,1528,225938,990,
2020/08/02,435133,255,843559,799,969767,2419,1206874,3283,1166614,3059,1358143,4098,1210126,3210,833470,1635,609151,1522,225938,990,
2020/08/01,435133,251,843559,797,969767,2406,1206874,3265,1166614,3046,1358143,4090,1210126,3200,833470,1632,609151,1520,225938,990,
2020/07/31,435133,249,843559,788,969767,2380,1206874,3245,1166614,3024,1358143,4069,1210126,3194,833470,1628,609151,1518,225938,988,
2020/07/30,435133,247,843559,780,969767,2352,1206874,3228,1166614,3017,1358143,4056,1210126,3192,833470,1626,609151,1518,225938,986,
2020/07/29,435133,242,843559,767,969767,2305,1206874,3196,1166614,2991,1358143,4041,1210126,3178,833470,1619,609151,1512,225938,986,
2020/07/28,435133,236,843559,763,969767,2271,1206874,3170,1166614,2975,1358143,4010,1210126,3156,833470,1609,609151,1510,225938,982,
2020/07/27,435133,235,843559,751,969767,2241,1206874,3145,1166614,2957,1358143,3990,1210126,3142,833470,1602,609151,1505,225938,982,
2020/07/26,435133,233,843559,745,969767,2211,1206874,3138,1166614,2946,1358143,3976,1210126,3137,833470,1594,609151,1501,225938,981,
2020/07/25,435133,228,843559,739,969767,2180,1206874,3109,1166614,2926,1358143,3960,1210126,3128,833470,1590,609151,1499,225938,978,
2020/07/24,435133,226,843559,730,969767,2154,1206874,3080,1166614,2913,1358143,3949,1210126,3119,833470,1583,609151,1498,225938,977,
2020/07/23,435133,223,843559,719,969767,2132,1206874,3057,1166614,2901,1358143,3933,1210126,3112,833470,1577,609151,1491,225938,975,
2020/07/22,435133,220,843559,706,969767,2090,1206874,3021,1166614,2880,1358143,3920,1210126,3082,833470,1567,609151,1483,225938,974,
2020/07/21,435133,219,843559,700,969767,2057,1206874,2995,1166614,2861,1358143,3896,1210126,3072,833470,1561,609151,1471,225938,973,
2020/07/20,435133,215,843559,691,969767,2039,1206874,2973,1166614,2851,1358143,3868,1210126,3054,833470,1552,609151,1467,225938,969,
2020/07/19,435133,213,843559,680,969767,2022,1206874,2953,1166614,2839,1358143,3849,1210126,3044,833470,1547,609151,1456,225938,968,
2020/07/18,435133,209,843559,672,969767,2013,1206874,2943,1166614,2832,1358143,3839,1210126,3039,833470,1539,609151,1456,225938,967,
2020/07/17,435133,206,843559,659,969767,1991,1206874,2927,1166614,2813,1358143,3823,1210126,3032,833470,1534,609151,1455,225938,966,
2020/07/16,435133,200,843559,649,969767,1973,1206874,2898,1166614,2795,1358143,3805,1210126,3014,833470,1532,609151,1451,225938,961,
2020/07/15,435133,200,843559,636,969767,1950,1206874,2863,1166614,2771,1358143,3771,1210126,2997,833470,1524,609151,1444,225938,959,
2020/07/14,435133,196,843559,625,969767,1928,1206874,2836,1166614,2751,1358143,3751,1210126,2981,833470,1519,609151,1443,225938,959,
2020/07/13,435133,194,843559,617,969767,1909,1206874,2810,1166614,2740,1358143,3728,1210126,2968,833470,1515,609151,1438,225938,957,
2020/07/12,435133,194,843559,613,969767,1905,1206874,2799,1166614,2731,1358143,3717,1210126,2965,833470,1512,609151,1437,225938,956,
2020/07/11,435133,191,843559,611,969767,1896,1206874,2781,1166614,2718,1358143,3709,1210126,2962,833470,1511,609151,1433,225938,955,
2020/07/10,435133,185,843559,597,969767,1878,1206874,2760,1166614,2700,1358143,3690,1210126,2956,833470,1507,609151,1429,225938,954,
2020/07/09,435133,184,843559,594,969767,1860,1206874,2746,1166614,2683,1358143,3681,1210126,2950,833470,1501,609151,1429,225938,953,
2020/07/08,435133,183,843559,587,969767,1841,1206874,2726,1166614,2667,1358143,3664,1210126,2944,833470,1496,609151,1425,225938,951,
2020/07/07,435133,178,843559,584,969767,1819,1206874,2707,1166614,2653,1358143,3644,1210126,2927,833470,1493,609151,1424,225938,949,
2020/07/06,435133,184,843559,587,969767,1837,1206874,2697,1166614,2655,1358143,3656,1210126,2859,833470,1478,609151,1412,225938,929,
2020/07/05,435133,179,843559,575,969767,1834,1206874,2682,1166614,2646,1358143,3645,1210126,2852,833470,1475,609151,1410,225938,926,
2020/07/04,435133,172,843559,562,969767,1815,1206874,2662,1166614,2629,1358143,3635,1210126,2842,833470,1471,609151,1408,225938,925,
2020/07/03,435133,167,843559,544,969767,1798,1206874,2637,1166614,2616,1358143,3622,1210126,2838,833470,1468,609151,1409,225938,924,
2020/07/02,435133,163,843559,528,969767,1779,1206874,2615,1166614,2590,1358143,3604,1210126,2825,833470,1466,609151,1407,225938,919,
2020/07/01,435133,153,843559,515,969767,1736,1206874,2592,1166614,2561,1358143,3571,1210126,2868,833470,1473,609151,1413,225938,936,
2020/06/30,435133,151,843559,506,969767,1723,1206874,2574,1166614,2543,1358143,3554,1210126,2858,833470,1473,609151,1410,225938,934,
2020/06/29,435133,147,843559,500,969767,1715,1206874,2561,1166614,2525,1358143,3542,1210126,2857,833470,1468,609151,1410,225938,933,
2020/06/28,435133,138,843559,491,969767,1708,1206874,2544,1166614,2509,1358143,3528,1210126,2854,833470,1466,609151,1408,225938,934,
2020/06/27,435133,137,843559,485,969767,1699,1206874,2530,1166614,2500,1358143,3527,1210126,2847,833470,1465,609151,1407,225938,933,
2020/06/26,435133,138,843559,480,969767,1691,1206874,2511,1166614,2488,1358143,3517,1210126,2841,833470,1459,609151,1406,225938,933,
2020/06/25,435133,135,843559,475,969767,1679,1206874,2497,1166614,2471,1358143,3511,1210126,2834,833470,1461,609151,1404,225938,933,
2020/06/24,435133,134,843559,473,969767,1679,1206874,2488,1166614,2470,1358143,3504,1210126,2828,833470,1461,609151,1403,225938,933,
2020/06/23,435133,133,843559,473,969767,1671,1206874,2479,1166614,2462,1358143,3496,1210126,2819,833470,1461,609151,1401,225938,933,
2020/06/22,435133,132,843559,475,969767,1666,1206874,2476,1166614,2456,1358143,3495,1210126,2814,833470,1460,609151,1402,225938,932,
2020/06/21,435133,131,843559,470,969767,1659,1206874,2466,1166614,2450,1358143,3492,1210126,2808,833470,1453,609151,1403,225938,929,
2020/06/20,435133,130,843559,468,969767,1655,1206874,2464,1166614,2446,1358143,3487,1210126,2803,833470,1453,609151,1401,225938,927,
2020/06/19,435133,131,843559,465,969767,1648,1206874,2454,1166614,2440,1358143,3482,1210126,2797,833470,1452,609151,1401,225938,927,
2020/06/18,435133,129,843559,463,969767,1638,1206874,2451,1166614,2434,1358143,3478,1210126,2790,833470,1451,609151,1399,225938,924,
2020/06/17,435133,127,843559,461,969767,1627,1206874,2444,1166614,2431,1358143,3473,1210126,2785,833470,1450,609151,1398,225938,923,
2020/06/16,435133,128,843559,458,969767,1623,1206874,2442,1166614,2430,1358143,3471,1210126,2781,833470,1452,609151,1394,225938,923,
2020/06/15,435133,127,843559,454,969767,1616,1206874,2439,1166614,2428,1358143,3468,1210126,2779,833470,1449,609151,1394,225938,921,
2020/06/14,435133,125,843559,445,969767,1609,1206874,2432,1166614,2424,1358143,3463,1210126,2774,833470,1447,609151,1394,225938,919,
2020/06/13,435133,125,843559,440,969767,1605,1206874,2428,1166614,2423,1358143,3459,1210126,2771,833470,1447,609151,1390,225938,917,
2020/06/12,435133,125,843559,437,969767,1597,1206874,2423,1166614,2422,1358143,3452,1210126,2766,833470,1448,609151,1386,225938,915,
2020/06/11,435133,125,843559,437,969767,1595,1206874,2424,1166614,2417,1358143,3447,1210126,2757,833470,1446,609151,1383,225938,915,
2020/06/10,435133,123,843559,434,969767,1591,1206874,2418,1166614,2415,1358143,3447,1210126,2755,833470,1447,609151,1380,225938,913,
2020/06/09,435133,123,843559,433,969767,1588,1206874,2414,1166614,2412,1358143,3444,1210126,2749,833470,1445,609151,1378,225938,912,
2020/06/08,435133,124,843559,430,969767,1585,1206874,2412,1166614,2409,1358143,3440,1210126,2745,833470,1447,609151,1377,225938,912,
2020/06/07,435133,121,843559,423,969767,1583,1206874,2406,1166614,2403,1358143,3439,1210126,2743,833470,1446,609151,1378,225938,912,
2020/06/06,435133,121,843559,416,969767,1581,1206874,2402,1166614,2395,1358143,3438,1210126,2734,833470,1444,609151,1376,225938,911,
2020/06/05,435133,120,843559,413,969767,1576,1206874,2397,1166614,2387,1358143,3428,1210126,2727,833470,1442,609151,1371,225938,906,
2020/06/04,435133,116,843559,411,969767,1571,1206874,2396,1166614,2380,1358143,3420,1210126,2724,833470,1441,609151,1370,225938,905,
2020/06/03,435133,116,843559,406,969767,1566,1206874,2390,1166614,2373,1358143,3416,1210126,2720,833470,1439,609151,1370,225938,905,
2020/06/02,435133,115,843559,405,969767,1563,1206874,2383,1166614,2367,1358143,3408,1210126,2716,833470,1438,609151,1367,225938,904,
2020/06/01,435133,115,843559,403,969767,1556,1206874,2379,1166614,2366,1358143,3402,1210126,2713,833470,1438,609151,1368,225938,903,
2020/05/31,435133,115,843559,403,969767,1558,1206874,2376,1166614,2364,1358143,3402,1210126,2712,833470,1437,609151,1368,225938,903,
2020/05/30,435133,114,843559,401,969767,1558,1206874,2374,1166614,2358,1358143,3401,1210126,2711,833470,1437,609151,1367,225938,903,
2020/05/29,435133,113,843559,398,969767,1549,1206874,2364,1166614,2347,1358143,3393,1210126,2707,833470,1437,609151,1366,225938,902,
2020/05/28,435133,112,843559,394,969767,1547,1206874,2359,1166614,2344,1358143,3391,1210126,2705,833470,1435,609151,1362,225938,901,
2020/05/27,435133,109,843559,386,969767,1544,1206874,2358,1166614,2338,1358143,3381,1210126,2701,833470,1434,609151,1362,225938,902,
2020/05/26,435133,109,843559,385,969767,1542,1206874,2354,1166614,2336,1358143,3376,1210126,2702,833470,1429,609151,1362,225938,902,
2020/05/25,435133,108,843559,384,969767,1538,1206874,2350,1166614,2329,1358143,3369,1210126,2696,833470,1426,609151,1362,225938,901,
2020/05/24,435133,107,843559,384,969767,1534,1206874,2347,1166614,2323,1358143,3369,1210126,2694,833470,1425,609151,1363,225938,900,
2020/05/23,435133,107,843559,382,969767,1532,1206874,2342,1166614,2316,1358143,3366,1210126,2688,833470,1423,609151,1362,225938,899,
2020/05/22,435133,104,843559,377,969767,1529,1206874,2340,1166614,2314,1358143,3361,1210126,2684,833470,1422,609151,1361,225938,899,
2020/05/21,435133,100,843559,376,969767,1521,1206874,2331,1166614,2311,1358143,3350,1210126,2673,833470,1420,609151,1361,225938,899,
2020/05/20,435133,99,843559,375,969767,1519,1206874,2318,1166614,2299,1358143,3344,1210126,2671,833470,1415,609151,1359,225938,899,
2020/05/19,435133,99,843559,372,969767,1517,1206874,2310,1166614,2296,1358143,3335,1210126,2666,833470,1409,609151,1357,225938,900,
2020/05/18,435133,99,843559,368,969767,1511,1206874,2298,1166614,2286,1358143,3328,1210126,2662,833470,1406,609151,1352,225938,899,
2020/05/17,435133,98,843559,368,969767,1507,1206874,2286,1166614,2276,1358143,3323,1210126,2657,833470,1402,609151,1352,225938,898,
2020/05/16,435133,98,843559,368,969767,1506,1206874,2283,1166614,2271,1358143,3321,1210126,2652,833470,1399,609151,1350,225938,898,
2020/05/15,435133,97,843559,367,969767,1505,1206874,2278,1166614,2257,1358143,3312,1210126,2648,833470,1396,609151,1350,225938,896,
2020/05/14,435133,93,843559,358,969767,1498,1206874,2257,1166614,2244,1358143,3296,1210126,2640,833470,1388,609151,1349,225938,894,
2020/05/13,435133,91,843559,358,969767,1494,1206874,2248,1166614,2234,1358143,3288,1210126,2638,833470,1386,609151,1345,225938,893,
2020/05/12,435133,91,843559,355,969767,1486,1206874,2232,1166614,2216,1358143,3270,1210126,2627,833470,1387,609151,1344,225938,893,
2020/05/11,435133,89,843559,355,969767,1475,1206874,2220,1166614,2206,1358143,3267,1210126,2624,833470,1385,609151,1343,225938,893,
2020/05/10,435133,89,843559,353,969767,1464,1206874,2205,1166614,2197,1358143,3257,1210126,2614,833470,1378,609151,1339,225938,891,
2020/05/09,435133,89,843559,353,969767,1463,1206874,2199,1166614,2195,1358143,3256,1210126,2611,833470,1380,609151,1334,225938,878,
2020/05/08,435133,88,843559,353,969767,1461,1206874,2187,1166614,2189,1358143,3244,1210126,2603,833470,1381,609151,1332,225938,876,
2020/05/07,435133,88,843559,352,969767,1455,1206874,2175,1166614,2186,1358143,3230,1210126,2594,833470,1383,609151,1331,225938,873,
2020/05/06,435133,88,843559,352,969767,1453,1206874,2174,1166614,2179,1358143,3227,1210126,2590,833470,1381,609151,1329,225938,863,
2020/05/05,435133,87,843559,352,969767,1439,1206874,2162,1166614,2169,1358143,3219,1210126,2581,833470,1381,609151,1332,225938,860,
2020/05/04,435133,86,843559,352,969767,1435,1206874,2156,1166614,2167,1358143,3216,1210126,2574,833470,1379,609151,1327,225938,859,
2020/05/03,435133,86,843559,352,969767,1435,1206874,2152,1166614,2162,1358143,3209,1210126,2575,833470,1375,609151,1325,225938,858,
2020/05/02,435133,86,843559,352,969767,1430,1206874,2148,1166614,2162,1358143,3202,1210126,2577,833470,1373,609151,1324,225938,855,
2020/05/01,435133,85,843559,350,969767,1424,1206874,2139,1166614,2155,1358143,3200,1210126,2572,833470,1372,609151,1319,225938,854,
2020/04/30,435133,84,843559,350,969767,1421,1206874,2122,1166614,2150,1358143,3196,1210126,2566,833470,1370,609151,1317,225938,850,
2020/04/29,435133,84,843559,347,969767,1417,1206874,2114,1166614,2135,1358143,3181,1210126,2558,833470,1367,609151,1306,225938,848,
2020/04/28,435133,80,843559,343,969767,1418,1206874,2106,1166614,2121,1358143,3168,1210126,2551,833470,1360,609151,1300,225938,842,
2020/04/27,435133,80,843559,342,969767,1415,1206874,2095,1166614,2116,1358143,3165,1210126,2541,833470,1354,609151,1294,225938,839,
2020/04/26,435133,80,843559,339,969767,1412,1206874,2089,1166614,2109,1358143,3155,1210126,2534,833470,1349,609151,1284,225938,830,
2020/04/25,435133,78,843559,335,969767,1404,1206874,2084,1166614,2099,1358143,3147,1210126,2527,833470,1347,609151,1282,225938,825,
2020/04/24,435133,78,843559,334,969767,1390,1206874,2072,1166614,2087,1358143,3141,1210126,2517,833470,1341,609151,1266,225938,816,
2020/04/23,435133,79,843559,331,969767,1384,1206874,2065,1166614,2078,1358143,3122,1210126,2515,833470,1332,609151,1259,225938,802,
2020/04/22,435133,78,843559,328,969767,1383,1206874,2056,1166614,2074,1358143,3109,1210126,2506,833470,1325,609151,1245,225938,797,
2020/04/21,435133,77,843559,328,969767,1373,1206874,2036,1166614,2060,1358143,3100,1210126,2490,833470,1322,609151,1234,225938,792,
2020/04/20,435133,77,843559,326,969767,1369,1206874,2029,1166614,2057,1358143,3094,1210126,2482,833470,1314,609151,1231,225938,782,
2020/04/19,435133,77,843559,323,969767,1365,1206874,2022,1166614,2046,1358143,3082,1210126,2471,833470,1310,609151,1222,225938,778,
2020/04/17,435133,74,843559,322,969767,1360,1206874,2005,1166614,2032,1358143,3053,1210126,2450,833470,1297,609151,1211,225938,758,
